theta,HH,VV
0.000000000000000,3.336572483317806e+01,3.336572483317800e+01
0.005227275629933,3.334745595464326e+01,3.334791414735881e+01
0.010454551259866,3.329257496558562e+01,3.329441121711875e+01
0.015681826889799,3.320085725759223e+01,3.320500198644606e+01
0.020909102519732,3.307192325049646e+01,3.307932483756684e+01
0.026136378149666,3.290523028295525e+01,3.291686306969536e+01
0.031363653779599,3.270006071655745e+01,3.271693388058553e+01
0.036590929409532,3.245550565581028e+01,3.247867331428728e+01
0.041818205039465,3.217044342898135e+01,3.220101640995917e+01
0.047045480669398,3.184351163656547e+01,3.188267148830816e+01
0.052272756299331,3.147307111570666e+01,3.152208711090918e+01
0.057500031929264,3.105715953143442e+01,3.111740969406990e+01
0.062727307559197,3.059343139901639e+01,3.066642897847900e+01
0.067954583189130,3.007908002476606e+01,3.016650743295265e+01
0.073181858819063,2.951073489810674e+01,2.961448802173222e+01
0.078409134448996,2.888432510105688e+01,2.900657229202140e+01
0.083636410078930,2.819489468795253e+01,2.833815694548115e+01
0.088863685708863,2.743634861981432e+01,2.760361109433708e+01
0.094090961338796,2.660109571208454e+01,2.679596676930206e+01
0.099318236968729,2.567953441397739e+01,2.590647920292049e+01
0.104545512598662,2.465929071762346e+01,2.492398576192514e+01
0.109772788228595,2.352404992027973e+01,2.383394286215802e+01
0.115000063858528,2.225169218933322e+01,2.261692742066998e+01
0.120227339488461,2.081116837202030e+01,2.124620662148217e+01
0.125454615118394,1.915694031487484e+01,1.968359835941791e+01
0.130681890748328,1.721830623863883e+01,1.787199648345783e+01
0.135909166378261,1.487677989672082e+01,1.572092567418405e+01
0.141136442008194,1.191139140868518e+01,1.307659830993948e+01
0.146363717638127,7.841009231817980e+00,9.658903521148423e+00
0.151590993268060,1.423911623678529e+00,5.010239887425536e+00
0.156818268897993,-3.496720366789119e+00,4.560953360365139e-01
0.162045544527926,3.631313986886690e+00,3.279355906673631e+00
0.167272820157859,7.844948941736113e+00,7.275455586595905e+00
0.172500095787792,1.041427132162672e+01,9.976945545693509e+00
0.177727371417725,1.213896369195199e+01,1.183149156433648e+01
0.182954647047658,1.334753649834685e+01,1.314748544442842e+01
0.188181922677592,1.420136359606471e+01,1.409188133990510e+01
0.193409198307525,1.479013871637516e+01,1.476033408702357e+01
0.198636473937458,1.516784911363109e+01,1.521120095957068e+01
0.203863749567391,1.536857204246457e+01,1.548173162676989e+01
0.209091025197324,1.541420853509734e+01,1.559628263645402e+01
0.214318300827257,1.531855280155775e+01,1.557074137194619e+01
0.219545576457190,1.508950373521073e+01,1.541500326913821e+01
0.224772852087123,1.473022387369583e+01,1.513436300568260e+01
0.230000127717056,1.423961170412518e+01,1.473023770609496e+01
0.235227403346989,1.361222704325548e+01,1.420042208194402e+01
0.240454678976923,1.283765701650131e+01,1.353895374538288e+01
0.245681954606856,1.189915631185940e+01,1.273558598718078e+01
0.250909230236789,1.077116756565226e+01,1.177480215474328e+01
0.256136505866722,9.414907765617311e+00,1.063426858867266e+01
0.261363781496655,7.770358530064890e+00,9.282708977734528e+00
0.266591057126588,5.741326222020245e+00,7.677857775867709e+00
0.271818332756521,3.168351348934524e+00,5.768541854297680e+00
0.277045608386454,-1.978402510795413e-01,3.520852276976276e+00
0.282272884016387,-4.373054309504410e+00,1.055968785431039e+00
0.287500159646321,-6.042830577515296e+00,-8.878151300046431e-01
0.292727435276254,-2.747443890455070e+00,-9.183139595281219e-01
0.297954710906187,5.128578719878444e-01,7.235707262808609e-01
