theta,HH,VV
0.000000000000000,-1.249654969848486e+01,-1.249654969873069e+01
0.005227275629933,-1.249668131295031e+01,-1.249656355262840e+01
0.010454551259866,-1.249707618095822e+01,-1.249660513250884e+01
0.015681826889799,-1.249773437634210e+01,-1.249667449293186e+01
0.020909102519732,-1.249865602215495e+01,-1.249677172482297e+01
0.026136378149666,-1.249984129066487e+01,-1.249689695546206e+01
0.031363653779599,-1.250129040334871e+01,-1.249705034846757e+01
0.036590929409532,-1.250300363088417e+01,-1.249723210377635e+01
0.041818205039465,-1.250498129314029e+01,-1.249744245761836e+01
0.047045480669398,-1.250722375916599e+01,-1.249768168248809e+01
0.052272756299331,-1.250973144717701e+01,-1.249795008711014e+01
0.057500031929264,-1.251250482454120e+01,-1.249824801640123e+01
0.062727307559197,-1.251554440776207e+01,-1.249857585142770e+01
0.067954583189130,-1.251885076246095e+01,-1.249893400935820e+01
0.073181858819063,-1.252242450335737e+01,-1.249932294341232e+01
0.078409134448996,-1.252626629424799e+01,-1.249974314280433e+01
0.083636410078930,-1.253037684798399e+01,-1.250019513268368e+01
0.088863685708863,-1.253475692644707e+01,-1.250067947406974e+01
0.094090961338796,-1.253940734052403e+01,-1.250119676378340e+01
0.099318236968729,-1.254432895007984e+01,-1.250174763437357e+01
0.104545512598662,-1.254952266392977e+01,-1.250233275404019e+01
0.109772788228595,-1.255498943980990e+01,-1.250295282655238e+01
0.115000063858528,-1.256073028434666e+01,-1.250360859116267e+01
0.120227339488461,-1.256674625302512e+01,-1.250430082251749e+01
0.125454615118394,-1.257303845015646e+01,-1.250503033056286e+01
0.130681890748328,-1.257960802884418e+01,-1.250579796044646e+01
0.135909166378261,-1.258645619094951e+01,-1.250660459241556e+01
0.141136442008194,-1.259358418705601e+01,-1.250745114171123e+01
0.146363717638127,-1.260099331643356e+01,-1.250833855845830e+01
0.151590993268060,-1.260868492700133e+01,-1.250926782755144e+01
0.156818268897993,-1.261666041529041e+01,-1.251023996853790e+01
0.162045544527926,-1.262492122640611e+01,-1.251125603549580e+01
0.167272820157859,-1.263346885398937e+01,-1.251231711690937e+01
0.172500095787792,-1.264230484017828e+01,-1.251342433553998e+01
0.177727371417725,-1.265143077556941e+01,-1.251457884829382e+01
0.182954647047658,-1.266084829917865e+01,-1.251578184608610e+01
0.188181922677592,-1.267055909840253e+01,-1.251703455370163e+01
0.193409198307525,-1.268056490897921e+01,-1.251833822965188e+01
0.198636473937458,-1.269086751495029e+01,-1.251969416602898e+01
0.203863749567391,-1.270146874862218e+01,-1.252110368835604e+01
0.209091025197324,-1.271237049052860e+01,-1.252256815543453e+01
0.214318300827257,-1.272357466939347e+01,-1.252408895918837e+01
0.219545576457190,-1.273508326209422e+01,-1.252566752450494e+01
0.224772852087123,-1.274689829362651e+01,-1.252730530907268e+01
0.230000127717056,-1.275902183706945e+01,-1.252900380321666e+01
0.235227403346989,-1.277145601355194e+01,-1.253076452973011e+01
0.240454678976923,-1.278420299222079e+01,-1.253258904370389e+01
0.245681954606856,-1.279726499020957e+01,-1.253447893235296e+01
0.250909230236789,-1.281064427260949e+01,-1.253643581484018e+01
0.256136505866722,-1.282434315244169e+01,-1.253846134209745e+01
0.261363781496655,-1.283836399063156e+01,-1.254055719664439e+01
0.266591057126588,-1.285270919598495e+01,-1.254272509240456e+01
0.271818332756521,-1.286738122516666e+01,-1.254496677451933e+01
