theta,HH,VV
0.000000000000000,-5.859507334804621e+00,-5.859507337112150e+00
0.005227275629933,-5.859632122565944e+00,-5.859526762648225e+00
0.010454551259866,-5.860006508871377e+00,-5.859585056775848e+00
0.015681826889799,-5.860630562784571e+00,-5.859682272050505e+00
0.020909102519732,-5.861504399407309e+00,-5.859818496057983e+00
0.026136378149666,-5.862628179873436e+00,-5.859993851403753e+00
0.031363653779599,-5.864002111340536e+00,-5.860208495698065e+00
0.036590929409532,-5.865626446978184e+00,-5.860462621537401e+00
0.041818205039465,-5.867501485955287e+00,-5.860756456481040e+00
0.047045480669398,-5.869627573423337e+00,-5.861090263024323e+00
0.052272756299331,-5.872005100498825e+00,-5.861464338566769e+00
0.057500031929264,-5.874634504242041e+00,-5.861879015377242e+00
0.062727307559197,-5.877516267634229e+00,-5.862334660553403e+00
0.067954583189130,-5.880650919551805e+00,-5.862831675979000e+00
0.073181858819063,-5.884039034739351e+00,-5.863370498275135e+00
0.078409134448996,-5.887681233778867e+00,-5.863951598749085e+00
0.083636410078930,-5.891578183058165e+00,-5.864575483337719e+00
0.088863685708863,-5.895730594735791e+00,-5.865242692548032e+00
0.094090961338796,-5.900139226704976e+00,-5.865953801392683e+00
0.099318236968729,-5.904804882554426e+00,-5.866709419322751e+00
0.104545512598662,-5.909728411527868e+00,-5.867510190155104e+00
0.109772788228595,-5.914910708480940e+00,-5.868356791996954e+00
0.115000063858528,-5.920352713836211e+00,-5.869249937166257e+00
0.120227339488461,-5.926055413536422e+00,-5.870190372107831e+00
0.125454615118394,-5.932019838996054e+00,-5.871178877306500e+00
0.130681890748328,-5.938247067050499e+00,-5.872216267195483e+00
0.135909166378261,-5.944738219903519e+00,-5.873303390061945e+00
0.141136442008194,-5.951494465073688e+00,-5.874441127948184e+00
0.146363717638127,-5.958517015338477e+00,-5.875630396549596e+00
0.151590993268060,-5.965807128676809e+00,-5.876872145108743e+00
0.156818268897993,-5.973366108210508e+00,-5.878167356305925e+00
0.162045544527926,-5.981195302143836e+00,-5.879517046146487e+00
0.167272820157859,-5.989296103702049e+00,-5.880922263844206e+00
0.172500095787792,-5.997669951068488e+00,-5.882384091701674e+00
0.177727371417725,-6.006318327320137e+00,-5.883903644987180e+00
0.182954647047658,-6.015242760362688e+00,-5.885482071807797e+00
0.188181922677592,-6.024444822864243e+00,-5.887120552980170e+00
0.193409198307525,-6.033926132187576e+00,-5.888820301897088e+00
0.198636473937458,-6.043688350322380e+00,-5.890582564391655e+00
0.203863749567391,-6.053733183816044e+00,-5.892408618597922e+00
0.209091025197324,-6.064062383704261e+00,-5.894299774808520e+00
0.214318300827257,-6.074677745440256e+00,-5.896257375329546e+00
0.219545576457190,-6.085581108824584e+00,-5.898282794332300e+00
0.224772852087123,-6.096774357933668e+00,-5.900377437702189e+00
0.230000127717056,-6.108259421048037e+00,-5.902542742884997e+00
0.235227403346989,-6.120038270581225e+00,-5.904780178730194e+00
0.240454678976923,-6.132112923007452e+00,-5.907091245331797e+00
0.245681954606856,-6.144485438790212e+00,-5.909477473866216e+00
0.250909230236789,-6.157157922310477e+00,-5.911940426428353e+00
0.256136505866722,-6.170132521795386e+00,-5.914481695864298e+00
0.261363781496655,-6.183411429247192e+00,-5.917102905602397e+00
0.266591057126588,-6.196996880372700e+00,-5.919805709481356e+00
0.271818332756521,-6.210891154513499e+00,-5.922591791576666e+00
0.277045608386454,-6.225096574576391e+00,-5.925462866024660e+00
0.282272884016387,-6.239615506965395e+00,-5.928420676843867e+00
0.287500159646321,-6.254450361514264e+00,-5.931466997755630e+00
0.292727435276254,-6.269603591420223e+00,-5.934603632001050e+00
0.297954710906187,-6.285077693178950e+00,-5.937832412158013e+00
0.303181986536120,-6.300875206520853e+00,-5.941155199954570e+00
0.308409262166053,-6.316998714349213e+00,-5.944573886081824e+00
0.313636537795986,-6.333450842679595e+00,-5.948090390004250e+00
0.318863813425919,-6.350234260581093e+00,-5.951706659769664e+00
0.324091089055852,-6.367351680120025e+00,-5.955424671816178e+00
0.329318364685785,-6.384805856304887e+00,-5.959246430779239e+00
0.334545640315718,-6.402599587034582e+00,-5.963173969295958e+00
0.339772915945652,-6.420735713048023e+00,-5.967209347809275e+00
0.345000191575585,-6.439217117877122e+00,-5.971354654370317e+00
0.350227467205518,-6.458046727801867e+00,-5.975612004440151e+00
0.355454742835451,-6.477227511809183e+00,-5.979983540689586e+00
0.360682018465384,-6.496762481553525e+00,-5.984471432799729e+00
0.365909294095317,-6.516654691321858e+00,-5.989077877259740e+00
0.371136569725250,-6.536907238001774e+00,-5.993805097165450e+00
0.376363845355183,-6.557523261052355e+00,-5.998655342016179e+00
0.381591120985116,-6.578505942480123e+00,-6.003630887511900e+00
0.386818396615049,-6.599858506817792e+00,-6.008734035349229e+00
0.392045672244982,-6.621584221107796e+00,-6.013967113017122e+00
0.397272947874916,-6.643686394889534e+00,-6.019332473592534e+00
0.402500223504849,-6.666168380191849e+00,-6.024832495535812e+00
0.407727499134782,-6.689033571529355e+00,-6.030469582485542e+00
0.412954774764715,-6.712285405904224e+00,-6.036246163053684e+00
0.418182050394648,-6.735927362812809e+00,-6.042164690620808e+00
0.423409326024581,-6.759962964257779e+00,-6.048227643131113e+00
0.428636601654514,-6.784395774764935e+00,-6.054437522888141e+00
0.433863877284447,-6.809229401406958e+00,-6.060796856350050e+00
0.439091152914380,-6.834467493831999e+00,-6.067308193926182e+00
0.444318428544314,-6.860113744299040e+00,-6.073974109773463e+00
0.449545704174247,-6.886171887718974e+00,-6.080797201593661e+00
0.454772979804180,-6.912645701703154e+00,-6.087780090431043e+00
0.460000255434113,-6.939539006617711e+00,-6.094925420471239e+00
0.465227531064046,-6.966855665645582e+00,-6.102235858840400e+00
0.470454806693979,-6.994599584855643e+00,-6.109714095405813e+00
0.475682082323912,-7.022774713279452e+00,-6.117362842577246e+00
0.480909357953845,-7.051385042995314e+00,-6.125184835109366e+00
0.486136633583778,-7.080434609220982e+00,-6.133182829905838e+00
0.491363909213711,-7.109927490414252e+00,-6.141359605824004e+00
0.496591184843645,-7.139867808382099e+00,-6.149717963481479e+00
0.501818460473578,-7.170259728398793e+00,-6.158260725064414e+00
0.507045736103511,-7.201107459332954e+00,-6.166990734136556e+00
0.512273011733444,-7.232415253784196e+00,-6.175910855451198e+00
0.517500287363377,-7.264187408228841e+00,-6.185023974763487e+00
0.522727562993310,-7.296428263176584e+00,-6.194332998645937e+00
0.527954838623243,-7.329142203336433e+00,-6.203840854305117e+00
0.533182114253176,-7.362333657793344e+00,-6.213550489400745e+00
0.538409389883109,-7.396007100196630e+00,-6.223464871866633e+00
0.543636665513042,-7.430167048958322e+00,-6.233586989734436e+00
0.548863941142976,-7.464818067463868e+00,-6.243919850959340e+00
0.554091216772909,-7.499964764294289e+00,-6.254466483248225e+00
0.559318492402842,-7.535611793460578e+00,-6.265229933890827e+00
0.564545768032775,-7.571763854651079e+00,-6.276213269592944e+00
0.569773043662708,-7.608425693490998e+00,-6.287419576312865e+00
0.575000319292641,-7.645602101815769e+00,-6.298851959100695e+00
0.580227594922574,-7.683297917958062e+00,-6.310513541940129e+00
0.585454870552507,-7.721518027048312e+00,-6.322407467594003e+00
0.590682146182440,-7.760267361330314e+00,-6.334536897452697e+00
0.595909421812373,-7.799550900491447e+00,-6.346905011385439e+00
0.601136697442307,-7.839373672007818e+00,-6.359515007596032e+00
0.606363973072240,-7.879740751505826e+00,-6.372370102480777e+00
0.611591248702173,-7.920657263138969e+00,-6.385473530491026e+00
0.616818524332106,-7.962128379982111e+00,-6.398828543999101e+00
0.622045799962039,-8.004159324442186e+00,-6.412438413167773e+00
0.627273075591972,-8.046755368686913e+00,-6.426306425823984e+00
0.632500351221905,-8.089921835090800e+00,-6.440435887336964e+00
0.637727626851838,-8.133664096700738e+00,-6.454830120499270e+00
0.642954902481771,-8.177987577719776e+00,-6.469492465413738e+00
0.648182178111704,-8.222897754011061e+00,-6.484426279383299e+00
0.653409453741638,-8.268400153621258e+00,-6.499634936806697e+00
0.658636729371571,-8.314500357325640e+00,-6.515121829077485e+00
