theta,HH,VV
0.000000000000000,3.433615988368052e+01,3.433615988368041e+01
0.005227275629933,3.431707654121427e+01,3.431627597953509e+01
0.010454551259866,3.425975466508137e+01,3.425654079629986e+01
0.015681826889799,3.416397737277038e+01,3.415670214842170e+01
0.020909102519732,3.402937868297904e+01,3.401633373063527e+01
0.026136378149666,3.385543654949866e+01,3.383482581742724e+01
0.031363653779599,3.364146269240558e+01,3.361137160201911e+01
0.036590929409532,3.338658877266209e+01,3.334494846733420e+01
0.041818205039465,3.308974826782140e+01,3.303429317279806e+01
0.047045480669398,3.274965316455339e+01,3.267786953199001e+01
0.052272756299331,3.236476426368333e+01,3.227382659707113e+01
0.057500031929264,3.193325345999361e+01,3.181994458101412e+01
0.062727307559197,3.145295575991642e+01,3.131356462068301e+01
0.067954583189130,3.092130795651773e+01,3.075149682614495e+01
0.073181858819063,3.033526967142478e+01,3.012989856946911e+01
0.078409134448996,2.969122070705232e+01,2.944411112834356e+01
0.083636410078930,2.898482602475362e+01,2.868843673226885e+01
0.088863685708863,2.821085567736277e+01,2.785582818288578e+01
0.094090961338796,2.736294084726209e+01,2.693744660740685e+01
0.099318236968729,2.643323735826754e+01,2.592201389125614e+01
0.104545512598662,2.541195218152933e+01,2.479483341685259e+01
0.109772788228595,2.428666219933753e+01,2.353625116209852e+01
0.115000063858528,2.304131011990325e+01,2.211912202493337e+01
0.120227339488461,2.165468660009670e+01,2.050439115508836e+01
0.125454615118394,2.009807974140406e+01,1.863280372782369e+01
0.130681890748328,1.833157695407308e+01,1.640778075909505e+01
0.135909166378261,1.629833229454460e+01,1.365500460153415e+01
0.141136442008194,1.391686757827399e+01,1.000590755665737e+01
0.146363717638127,1.107960991750911e+01,4.421988221617202e+00
0.151590993268060,7.726629059141708e+00,-9.704683768386319e+00
0.156818268897993,4.415479488610822e+00,-1.188285343967901e+00
0.162045544527926,3.539022702275542e+00,5.543757457410916e+00
0.167272820157859,5.389885629078540e+00,8.799259842509136e+00
0.172500095787792,7.454738439093129e+00,1.076971681340591e+01
0.177727371417725,8.995973607786611e+00,1.204225773995566e+01
0.182954647047658,1.004000988785549e+01,1.285859395876911e+01
0.188181922677592,1.068602497033491e+01,1.333904564113918e+01
0.193409198307525,1.100760670275382e+01,1.354919442248261e+01
0.198636473937458,1.105097176393075e+01,1.352525245942089e+01
0.203863749567391,1.084230768276264e+01,1.328501270076339e+01
0.209091025197324,1.039368192501465e+01,1.283257113048646e+01
0.214318300827257,9.707931365054588e+00,1.215965990508166e+01
0.219545576457190,8.785568068618007e+00,1.124444710040028e+01
0.224772852087123,7.640961579875225e+00,1.004766661489857e+01
0.230000127717056,6.345356600894744e+00,8.505499496964624e+00
0.235227403346989,5.123855988945288e+00,6.520846938178160e+00
0.240454678976923,4.449824764380656e+00,3.977650689677787e+00
0.245681954606856,4.779202046936542e+00,9.807622604555023e-01
0.250909230236789,5.973364863851389e+00,-8.408638754113762e-01
0.256136505866722,7.504984341122381e+00,8.737936456051838e-01
0.261363781496655,9.011445315553486e+00,3.811709765468479e+00
0.266591057126588,1.035611205274039e+01,6.311158917706639e+00
0.271818332756521,1.151050034855001e+01,8.262288632838203e+00
0.277045608386454,1.248285784318904e+01,9.785488988814965e+00
0.282272884016387,1.329059158173551e+01,1.098388463608171e+01
0.287500159646321,1.395118659625535e+01,1.192839893053377e+01
0.292727435276254,1.447965317005508e+01,1.266694951487809e+01
0.297954710906187,1.488812086742107e+01,1.323237122917475e+01
0.303181986536120,1.518606927326659e+01,1.364749483428127e+01
0.308409262166053,1.538068848001054e+01,1.392826597683211e+01
0.313636537795986,1.547720806472127e+01,1.408565982173652e+01
0.318863813425919,1.547915127659278e+01,1.412685307947241e+01
0.324091089055852,1.538850962145444e+01,1.405591644462113e+01
0.329318364685785,1.520584381873678e+01,1.387417077149483e+01
0.334545640315718,1.493031894295426e+01,1.358027556991597e+01
0.339772915945652,1.455968194134381e+01,1.317006454020802e+01
